SenatorBaldwin, DEM
RepJimBaird, REP
RepBalderson, REP
RepJimBanks, REP
RepAndyBarr, REP
RepBarragan, DEM
RepKarenBass, DEM
RepBeatty, DEM
RepBera, DEM
RepDonBeyer, DEM
RepBice, REP
RepAndyBiggsAZ, REP
RepGusBilirakis, REP
SanfordBishop, DEM
RepDanBishop, REP
RepLBR, DEM
RepBoebert, REP
RepBonamici, DEM
RepBost, REP
RepBourdeaux, DEM
RepBowman, DEM
CongBoyle, DEM
RepKevinBrady, REP
RepMoBrooks, REP
RepAnthonyBrown, DEM
RepShontelBrown, DEM
RepBrownley, DEM
VernBuchanan, REP
RepKenBuck, REP
RepLarryBucshon, REP
RepTedBudd, REP
RepTimBurchett, REP
michaelcburgess, REP
RepCori, DEM
RepCheri, DEM
RepKatCammack, REP
RepCarbajal, DEM
RepCardenas, DEM
RepMikeCarey, REP
RepJerryCarl, REP
RepAndreCarson, DEM
RepBuddyCarter, REP
JudgeCarter, REP
RepTroyCarter, DEM
RepEdCase, DEM
RepCasten, DEM
USRepKCastor, DEM
JoaquinCastrotx, DEM
RepCawthorn, REP
RepSteveChabot, REP
RepLizCheney, REP
CongresswomanSC, DEM
RepJudyChu, DEM
RepKClark, DEM
RepYvetteClarke, DEM
repcleaver, DEM
RepBenCline, REP
RepCloudTX, REP
WhipClyburn, DEM
Rep_Clyde, REP
RepCohen, DEM
TomColeOK04, REP
RepJamesComer, REP
GerryConnolly, DEM
RepLouCorrea, DEM
RepJimCosta, DEM
RepJoeCourtney, DEM
RepAngieCraig, DEM
RepCharlieCrist, DEM
RepJasonCrow, DEM
RepJohnCurtis, REP
RepDavids, DEM
WarrenDavidson, REP
RodneyDavis, REP
RepDean, DEM
RepPeterDeFazio, DEM
RepDianaDeGette, DEM
rosadelauro, DEM
RepDelBene, DEM
repdelgado, DEM
RepValDemings, DEM
RepDeSaulnier, DEM
RepTedDeutch, DEM
MarioDB, REP
RepDebDingell, DEM
RepLloydDoggett, DEM
RepDonaldsPress, REP
USRepMikeDoyle, DEM
RepJeffDuncan, REP
DrNealDunnFL2, REP
RepTomEmmer, REP
RepEscobar, DEM
RepAnnaEshoo, DEM
RepEspaillat, DEM
RepRonEstes, REP
RepDwightEvans, DEM
RepPatFallon, REP
RepFeenstra, REP
RepDrewFerguson, REP
RepFischbach, REP
RepBrianFitz, REP
RepChuck, REP
RepFletcher, DEM
RepBillFoster, DEM
virginiafoxx, REP
RepLoisFrankel, DEM
RepFranklin, REP
RepRussFulcher, REP
RepMattGaetz, REP
RepGallagher, REP
RepRubenGallego, DEM
RepGaramendi, DEM
RepGarbarino, REP
RepChuyGarcia, DEM
RepMikeGarcia, REP
RepSylviaGarcia, REP
RepBobGibbs, REP
RepCarlos, REP
replouiegohmert, REP
RepGolden, DEM
RepJimmyGomez, DEM
RepTonyGonzales, REP
RepJenniffer, REP
RepGonzalez, DEM
RepBobGood, REP
Lancegooden, REP
RepGosar, REP
RepJoshG, DEM
RepKayGranger, REP
RepGarretGraves, REP
RepAlGreen, DEM
RepMarkGreen, REP
RepMTG, REP
RepMGriffith, REP
RepRaulGrijalva, DEM
RepGrothman, REP
RepMichaelGuest, REP
RepGuthrie, REP
RepJoshHarder, DEM
RepHarshbarger, REP
RepHartzler, REP
RepJahanaHayes, DEM
repkevinhern, REP
RepHerrell, REP
CongressmanHice, REP
RepBrianHiggins, DEM
RepClayHiggins, REP
RepFrenchHill, REP
jahimes, DEM
RepAshleyHinson, REP
RepHorsford, DEM
RepHoulahan, DEM
LeaderHoyer, DEM
RepRichHudson, REP
RepHuffman, DEM
RepHuizenga, REP
repdarrellissa, REP
JacksonLeeTX18, DEM
RepRonnyJackson, REP
RepJacobs, REP
RepSaraJacobs, DEM
RepJayapal, DEM
RepJeffries, DEM
RepBillJohnson, REP
RepDustyJohnson, REP
RepEBJ, DEM
RepHankJohnson, DEM
RepMikeJohnson, REP
RepMondaire, DEM
Jim_Jordan, REP
RepDaveJoyce, REP
RepJohnJoyce, REP
RepJohnKatko, REP
USRepKeating, DEM
RepFredKeller, REP
MikeKellyPA, REP
RepRobinKelly, DEM
RepRoKhanna, DEM
RepDanKildee, DEM
RepDerekKilmer, DEM
RepAndyKimNJ, DEM
RepYoungKim, REP
RepRonKind, DEM
RepKirkpatrick, DEM
CongressmanRaja, DEM
RepAnnieKuster, DEM
RepDavidKustoff, REP
RepLaHood, REP
RepLaMalfa, REP
JimLangevin, DEM
RepRickLarsen, DEM
RepJohnLarson, DEM
boblatta, REP
RepLaTurner, REP
RepLawrence, DEM
RepAlLawsonJr, DEM
RepBarbaraLee, DEM
RepSusieLee, DEM
RepTeresaLF, DEM
RepDLesko, REP
RepJuliaLetlow, REP
RepAndyLevin, DEM
RepMikeLevin, DEM
RepTedLieu, DEM
USRepLong, REP
RepLoudermilk, REP
RepLowenthal, DEM
RepFrankLucas, REP
RepBlaine, REP
RepElaineLuria, DEM
RepNancyMace, REP
RepMalinowski, DEM
RepMalliotakis, REP
RepMaloney, DEM
RepSeanMaloney, DEM
RepKManning, DEM
RepThomasMassie, REP
RepBrianMast, REP
DorisMatsui, DEM
RepLucyMcBath, DEM
GOPLeader, REP
RepMcCaul, REP
RepLisaMcClain, REP
BettyMcCollum04, DEM
RepMcEachin, DEM
RepMcGovern, DEM
PatrickMcHenry, REP
RepMcKinley, REP
RepGregoryMeeks, DEM
RepMeijer, REP
RepGraceMeng, DEM
RepMeuser, REP
RepKweisiMfume, DEM
RepMMM, REP
RepCarolMiller, REP
RepMaryMiller, REP
RepAlexMooney, REP
RepBarryMoore, REP
RepBlakeMoore, REP
RepGwenMoore, DEM
RepJoeMorelle, DEM
RepMullin, REP
RepGregMurphy, REP
RepStephMurphy, DEM
RepJerryNadler, DEM
gracenapolitano, DEM
RepRichardNeal, DEM
RepJoeNeguse, DEM
RepTroyNehls, REP
RepNewhouse, REP
RepMarieNewman, DEM
DonaldNorcross, DEM
RepRalphNorman, REP
EleanorNorton, DEM
RepOHalleran, DEM
JayObernolte, REP
Ilhan, DEM
RepBurgessOwens, REP
CongPalazzo, REP
FrankPallone, DEM
USRepGaryPalmer, REP
RepJimmyPanetta, DEM
RepChrisPappas, DEM
BillPascrell, DEM
RepDonaldPayne, DEM
SpeakerPelosi, DEM
RepPerlmutter, DEM
RepScottPeters, DEM
RepPfluger, REP
RepDeanPhillips, DEM
chelliepingree, DEM
StaceyPlaskett, DEM
repmarkpocan, DEM
RepKatiePorter, DEM
RepPressley, DEM
RepDavidEPrice, DEM
RepMikeQuigley, DEM
RepRaskin, DEM
GReschenthaler, REP
RepKathleenRice, DEM
RepTomRice, REP
cathymcmorris, REP
RepMikeRogersAL, REP
RepJohnRose, REP
RepRosendale, REP
RepDeborahRoss, DEM
RepDavidRouzer, REP
RepChipRoy, REP
RepRoybalAllard, DEM
RepRaulRuizMD, DEM
Call_Me_Dutch, DEM
RepBobbyRush, DEM
RepTimRyan, DEM
Kilili_Sablan, DEM
RepMariaSalazar, REP
RepLindaSanchez, DEM
RepSarbanes, DEM
SteveScalise, REP
RepMGS, DEM
janschakowsky, DEM
RepAdamSchiff, DEM
RepSchneider, DEM
RepSchrader, DEM
RepKimSchrier, DEM
RepDavid, REP
AustinScottGA08, REP
BobbyScott, DEM
PeteSessions, REP
RepTerriSewell, DEM
BradSherman, DEM
RepSherrill, DEM
CongMikeSimpson, REP
RepSires, DEM
RepSlotkin, DEM
RepAdamSmith, DEM
RepAdrianSmith, REP
RepJasonSmith, REP
RepSmucker, REP
RepDarrenSoto, DEM
RepSpanberger, DEM
RepSpartz, REP
RepSpeier, DEM
Rep_Stansbury, DEM
RepGregStanton, DEM
RepPeteStauber, REP
RepSteel, REP
RepStefanik, REP
RepBryanSteil, REP
RepGregSteube, REP
RepHaleyStevens, DEM
RepChrisStewart, REP
RepStricklandWA, DEM
RepTomSuozzi, DEM
RepSwalwell, DEM
RepMarkTakano, DEM
claudiatenney, REP
BennieGThompson, DEM
RepThompson, DEM
RepTiffany, REP
RepTimmons, REP
repdinatitus, DEM
RepRashida, DEM
RepPaulTonko, DEM
NormaJTorres, DEM
RepRitchie, DEM
RepLoriTrahan, DEM
RepDavidTrone, DEM
RepMikeTurner, REP
RepUnderwood, DEM
RepDavidValadao, REP
RepBethVanDuyne, REP
RepJuanVargas, DEM
RepVeasey, DEM
NydiaVelazquez, DEM
RepAnnWagner, REP
RepWalberg, REP
RepWalorski, REP
michaelgwaltz, REP
RepDWStweets, DEM
RepBonnie, DEM
RepWebster, REP
PeterWelch, DEM
RepWesterman, REP
RepWexton, DEM
RepSusanWild, DEM
RepNikema, DEM
RepRWilliams, REP
RepWilson, DEM
RepJoeWilson, REP
RobWittman, REP
rep_stevewomack, REP
RepJohnYarmuth, DEM
RepLeeZeldin, REP
